what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1333167605283
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1333167605293
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1333167605293
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1333167605293
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1333167605303
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1333167605303
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1333167605313
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1333167605313
started,bundle,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.adt",1333167605313
os,sysinfo,,,"win32",1333167605323
arch,sysinfo,,,"x86",1333167605323
ws,sysinfo,,,"win32",1333167605323
locale,sysinfo,,,"ja_JP",1333167605323
processors,sysinfo,,,"1",1333167605323
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333167605323
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1333167605323
java.specification.name,sysinfo,,,"Java Platform API Specification",1333167605323
java.specification.vendor,sysinfo,,,"Oracle Corporation",1333167605323
java.specification.version,sysinfo,,,"1.7",1333167605323
java.vendor,sysinfo,,,"Oracle Corporation",1333167605323
java.version,sysinfo,,,"1.7.0_03",1333167605323
java.vm.info,sysinfo,,,"mixed mode, sharing",1333167605323
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333167605323
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333167605323
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1333167605323
java.vm.specification.version,sysinfo,,,"1.7",1333167605323
java.vm.vendor,sysinfo,,,"Oracle Corporation",1333167605323
java.vm.version,sysinfo,,,"22.1-b02",1333167605323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333167610253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333167614793
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1333167615023
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1333167615283
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1333167615313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333167619193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333167620963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333167623703
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1333167625103
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1333167629623
